"Direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID","Ontology"
"1","GO:0045666","positive regulation of neuron differentiation","12/88","368/14042",3.00090666337554e-06,0.000616346274445853,0.000517158328073951,12,"Adcyap1/Foxa1/Myo5b/Ret/Lmx1a/Foxa2/Ntn1/Neurod2/Tcf4/Cpne9/Sema5a/Bdnf","BP"
"1","GO:0007270","neuron-neuron synaptic transmission","8/88","143/14042",3.07489826497377e-06,0.000616346274445853,0.000517158328073951,8,"Adcyap1/Crhbp/Tac1/Erbb4/Cdh8/Grm2/Nrxn1/Bdnf","BP"
"1","GO:0050808","synapse organization","10/88","256/14042",4.40718977596831e-06,0.000694121077933916,0.000582416915666339,10,"Lmx1a/C1ql1/Epha7/Slitrk6/Erbb4/Lmx1b/Neurod2/Nrxn1/Bdnf/Cbln2","BP"
"1","GO:0050890","cognition","10/88","257/14042",4.56234316314345e-06,0.000694121077933916,0.000582416915666339,10,"Tac1/Lmx1a/C1ql1/Kit/Lmx1b/Neurod2/Nrxn1/Foxb1/Bdnf/Chl1","BP"
"1","GO:0022904","respiratory electron transport chain","6/88","70/14042",4.84717123206197e-06,0.000694121077933916,0.000582416915666339,6,"ND2/ND5/ND4/CYTB/COX1/Bdnf","BP"
"1","GO:0006119","oxidative phosphorylation","6/88","71/14042",5.26816858502786e-06,0.000694121077933916,0.000582416915666339,6,"ND2/ND5/ND4/CYTB/COX1/Bdnf","BP"
"1","GO:0030900","forebrain development","11/88","324/14042",5.47282241743306e-06,0.000694121077933916,0.000582416915666339,11,"Nr4a2/Pitx2/Lmx1a/Nrp2/Neurod6/Erbb4/Dmrta2/Sema5a/Foxb1/Prdm8/Uchl5","BP"
"1","GO:0030901","midbrain development","5/88","42/14042",6.10754901203542e-06,0.000694121077933916,0.000582416915666339,5,"Lmx1a/Lmx1b/Barhl1/Foxb1/Uchl5","BP"
"1","GO:0007411","axon guidance","8/88","157/14042",6.15628450495713e-06,0.000694121077933916,0.000582416915666339,8,"Lmx1a/Nrp2/Epha7/Ntn1/Sema5a/Bdnf/Etv4/Chl1","BP"
"1","GO:0097485","neuron projection guidance","8/88","159/14042",6.75920249104146e-06,0.000717270664343458,0.000601841063908212,8,"Lmx1a/Nrp2/Epha7/Ntn1/Sema5a/Bdnf/Etv4/Chl1","BP"
"1","GO:0022900","electron transport chain","6/88","75/14042",7.26001666422594e-06,0.000727615003459089,0.000610520699599819,6,"ND2/ND5/ND4/CYTB/COX1/Bdnf","BP"
"1","GO:0015980","energy derivation by oxidation of organic compounds","9/88","216/14042",8.14303332420724e-06,0.000773159585098414,0.000648735840454848,9,"ND2/ND1/ND5/ND4/CYTB/COX1/Hmgb1/Bdnf/Ppp1r3c","BP"
"1","GO:0042775","mitochondrial ATP synthesis coupled electron transport","5/88","48/14042",1.19360050080229e-05,0.00104722948993209,0.000878699968795864,5,"ND2/ND4/CYTB/COX1/Bdnf","BP"
"1","GO:0033555","multicellular organismal response to stress","6/88","82/14042",1.21905871887882e-05,0.00104722948993209,0.000878699968795864,6,"Nr4a2/Adcyap1/Ret/Tac1/Neurod2/Bdnf","BP"
"1","GO:0007611","learning or memory","9/88","232/14042",1.44498294074571e-05,0.00118488601141148,0.000994203573584846,9,"Tac1/Lmx1a/C1ql1/Kit/Lmx1b/Neurod2/Nrxn1/Foxb1/Bdnf","BP"
"1","GO:0004714","transmembrane receptor protein tyrosine kinase activity","5/88","53/14003",1.97779260090557e-05,0.000604325516943368,0.000525098152521127,5,"Ret/Nrp2/Epha7/Erbb4/Kit","MF"
"1","GO:0048863","stem cell differentiation","7/88","136/14042",2.26297515219811e-05,0.00177495964111539,0.00148931728551986,7,"Pitx2/Foxa1/Ret/Nrp2/Erbb4/Kit/Etv4","BP"
"1","GO:0006935","chemotaxis","11/88","381/14042",2.49884216851694e-05,0.00181939569211787,0.00152660229038715,11,"Scg2/Lmx1a/Nrp2/Epha7/Ntn1/Kit/Sema5a/Hmgb1/Bdnf/Etv4/Chl1","BP"
"1","GO:0045333","cellular respiration","7/88","139/14042",2.60573165539509e-05,0.00181939569211787,0.00152660229038715,7,"ND2/ND1/ND5/ND4/CYTB/COX1/Bdnf","BP"
"1","GO:0042330","taxis","11/88","383/14042",2.62218891325192e-05,0.00181939569211787,0.00152660229038715,11,"Scg2/Lmx1a/Nrp2/Epha7/Ntn1/Kit/Sema5a/Hmgb1/Bdnf/Etv4/Chl1","BP"
"1","GO:0000982","transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding","10/88","316/14003",2.82494602927358e-05,0.000776860158050233,0.000675013419626423,10,"Nr4a2/Pitx2/Foxa1/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Tcf4/Barhl1","MF"
"1","GO:0007612","learning","7/88","144/14042",3.27156386965366e-05,0.00218588934105748,0.00183411650860115,7,"Tac1/C1ql1/Kit/Neurod2/Nrxn1/Foxb1/Bdnf","BP"
"1","GO:0021536","diencephalon development","5/88","60/14042",3.58883986461863e-05,0.00231223825563286,0.00194013222756451,5,"Nr4a2/Pitx2/Nrp2/Sema5a/Foxb1","BP"
"-1","GO:0098793","presynapse","8/57","321/14216",3.90671708773673e-05,0.00397706136250391,0.0032922020476527,8,"Gad2/Gad1/Pdyn/Cckar/Slc32a1/Nrxn3/Cplx1/Cadps2","CC"
"1","GO:0030534","adult behavior","7/88","151/14042",4.43345841229507e-05,0.00272324207308771,0.00228499364050655,7,"Nr4a2/Crhbp/Klhl1/Slitrk6/Foxa2/Nrxn1/Chl1","BP"
"1","GO:0001755","neural crest cell migration","4/88","32/14042",4.52867307054497e-05,0.00272324207308771,0.00228499364050655,4,"Pitx2/Ret/Nrp2/Erbb4","BP"
"1","GO:0061180","mammary gland epithelium development","5/88","64/14042",4.91262688875434e-05,0.00285883190558478,0.0023987631463595,5,"Pthlh/Ntn1/Erbb4/Foxb1/Etv4","BP"
"1","GO:0008361","regulation of cell size","7/88","155/14042",5.23680500081781e-05,0.00295110215896639,0.00247618444660618,7,"Myo5b/Ret/Epha7/Ntn1/Hsp90aa1/Sema5a/Bdnf","BP"
"1","GO:0021537","telencephalon development","8/88","212/14042",5.39835760786534e-05,0.00295110215896639,0.00247618444660618,8,"Lmx1a/Nrp2/Neurod6/Erbb4/Dmrta2/Foxb1/Prdm8/Uchl5","BP"
"1","GO:0016651","oxidoreductase activity, acting on NAD(P)H","5/88","66/14003",5.77694316669951e-05,0.00144423579167488,0.00125489578836439,5,"ND2/ND1/ND5/ND4/ND6","MF"
"1","GO:0060560","developmental growth involved in morphogenesis","8/88","215/14042",5.96063947753586e-05,0.00316264518161021,0.00265368407699584,8,"Myo5b/Nrp2/Pthlh/Epha7/Ntn1/Cpne9/Sema5a/Bdnf","BP"
"1","GO:0030879","mammary gland development","6/88","109/14042",6.15990408805305e-05,0.0031749905642422,0.00266404273041212,6,"Pthlh/Rxfp1/Ntn1/Erbb4/Foxb1/Etv4","BP"
"1","GO:0019199","transmembrane receptor protein kinase activity","5/88","68/14003",6.67221376308171e-05,0.00152904898737289,0.00132858993352592,5,"Ret/Nrp2/Epha7/Erbb4/Kit","MF"
"1","GO:0051961","negative regulation of nervous system development","9/88","284/14042",7.04784940358242e-05,0.00353175564557297,0.00296339398899167,9,"Adcyap1/Lmx1a/Epha7/Foxa2/Ntn1/Erbb4/Neurod2/Sema5a/Bdnf","BP"
"1","GO:0006091","generation of precursor metabolites and energy","9/88","286/14042",7.43805945595884e-05,0.0036265565563648,0.00304293869065969,9,"ND2/ND1/ND5/ND4/CYTB/COX1/Hmgb1/Bdnf/Ppp1r3c","BP"
"-1","GO:0060077","inhibitory synapse","3/57","21/14216",7.72244924758042e-05,0.00397706136250391,0.0032922020476527,3,"Gad2/Gad1/Slc32a1","CC"
"1","GO:0021953","central nervous system neuron differentiation","7/88","165/14042",7.77845602080547e-05,0.00369271964777186,0.00309845422657016,7,"Nr4a2/Lmx1a/Nrp2/Erbb4/Lmx1b/Nrxn1/Prdm8","BP"
"1","GO:0004713","protein tyrosine kinase activity","6/88","116/14003",8.8489660599793e-05,0.00187189666653408,0.00162649011790713,6,"Ret/Nrp2/Epha7/Erbb4/Kit/Hsp90aa1","MF"
"1","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding","9/88","295/14003",9.62693180210567e-05,0.0018910044611279,0.00164309287148721,9,"Nr4a2/Pitx2/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Tcf4/Etv4","MF"
"1","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","3/88","15/14042",0.000102478105416551,0.00474026928644764,0.00397742282291498,3,"ND2/ND4/Bdnf","BP"
"1","GO:0000987","core promoter proximal region sequence-specific DNA binding","9/88","303/14003",0.000117970998313607,0.00213116271875409,0.00185176626663035,9,"Nr4a2/Pitx2/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Tcf4/Etv4","MF"
"1","GO:0060562","epithelial tube morphogenesis","9/88","305/14042",0.000121438665498884,0.00538741991682291,0.00452042819488351,9,"Pitx2/Foxa1/Ret/Pthlh/Epha7/Foxa2/Ntn1/Sema5a/Etv4","BP"
"1","GO:0001159","core promoter proximal region DNA binding","9/88","305/14003",0.00012399492181842,0.00213116271875409,0.00185176626663035,9,"Nr4a2/Pitx2/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Tcf4/Etv4","MF"
"1","GO:0021854","hypothalamus development","3/88","16/14042",0.000125555880277726,0.00538741991682291,0.00452042819488351,3,"Pitx2/Nrp2/Foxb1","BP"
"1","GO:0030324","lung development","7/88","179/14042",0.00012949658230163,0.00538741991682291,0.00452042819488351,7,"Pitx2/Foxa1/Adamts2/Pthlh/Rxfp1/Foxa2/Hmgb1","BP"
"1","GO:0050807","regulation of synapse organization","6/88","125/14042",0.000131729630475963,0.00538741991682291,0.00452042819488351,6,"Epha7/Slitrk6/Neurod2/Nrxn1/Bdnf/Cbln2","BP"
"1","GO:0050804","modulation of synaptic transmission","9/88","309/14042",0.000134005769397848,0.00538741991682291,0.00452042819488351,9,"Adcyap1/Tac1/Erbb4/Kit/Neurod2/Unc13c/Grm2/Nrxn1/Bdnf","BP"
"1","GO:0042551","neuron maturation","4/88","42/14042",0.0001343868604529,0.00538741991682291,0.00452042819488351,4,"Nr4a2/Ret/C1ql1/Nrxn1","BP"
"1","GO:0030323","respiratory tube development","7/88","182/14042",0.000143575571805707,0.00563065938124991,0.0047245233925997,7,"Pitx2/Foxa1/Adamts2/Pthlh/Rxfp1/Foxa2/Hmgb1","BP"
"1","GO:0050803","regulation of synapse structure or activity","6/88","130/14042",0.000163347754165201,0.00626977337263878,0.00526078545329359,6,"Epha7/Slitrk6/Neurod2/Nrxn1/Bdnf/Cbln2","BP"
"1","GO:0046034","ATP metabolic process","7/88","187/14042",0.000169785699066512,0.00627387435014013,0.00526422646487426,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0021761","limbic system development","5/88","83/14042",0.000170410112614671,0.00627387435014013,0.00526422646487426,5,"Pitx2/Lmx1a/Nrp2/Neurod6/Foxb1","BP"
"1","GO:0051963","regulation of synapse assembly","5/88","84/14042",0.000180308825371026,0.00650554241938663,0.00545861243965339,5,"Epha7/Slitrk6/Nrxn1/Bdnf/Cbln2","BP"
"1","GO:0030285","integral component of synaptic vesicle membrane","3/90","18/14216",0.000186914190753698,0.00887842406080066,0.00747656763014793,3,"Slc17a6/Gabra2/Tmem163","CC"
"1","GO:0030902","hindbrain development","6/88","135/14042",0.000200693595076128,0.00709904402975168,0.00595660247099015,6,"Lmx1a/Klhl1/Foxa2/Lmx1b/Neurod2/Nrxn1","BP"
"1","GO:0021549","cerebellum development","5/88","87/14042",0.000212654344846385,0.00724546633291441,0.00607946118959676,5,"Lmx1a/Klhl1/Lmx1b/Neurod2/Nrxn1","BP"
"1","GO:0048588","developmental cell growth","7/88","194/14042",0.000212865696033517,0.00724546633291441,0.00607946118959676,7,"Myo5b/Nrp2/Epha7/Ntn1/Cpne9/Sema5a/Bdnf","BP"
"1","GO:0050768","negative regulation of neurogenesis","8/88","263/14042",0.000240034779035583,0.00801893965518874,0.00672846027783954,8,"Adcyap1/Lmx1a/Epha7/Foxa2/Ntn1/Erbb4/Sema5a/Bdnf","BP"
"1","GO:0035239","tube morphogenesis","9/88","336/14042",0.000250635294845906,0.00822083767094573,0.0068978670619792,9,"Pitx2/Foxa1/Ret/Pthlh/Epha7/Foxa2/Ntn1/Sema5a/Etv4","BP"
"1","GO:0060541","respiratory system development","7/88","202/14042",0.000272493545880709,0.00867429816277447,0.00727835264212259,7,"Pitx2/Foxa1/Adamts2/Pthlh/Rxfp1/Foxa2/Hmgb1","BP"
"1","GO:0008344","adult locomotory behavior","5/88","92/14042",0.000276170922575041,0.00867429816277447,0.00727835264212259,5,"Nr4a2/Klhl1/Slitrk6/Foxa2/Chl1","BP"
"1","GO:0022604","regulation of cell morphogenesis","10/88","418/14042",0.000278885417650177,0.00867429816277447,0.00727835264212259,10,"Myo5b/Ret/Epha7/Palmd/Ntn1/Kit/Strip2/Cpne9/Sema5a/Bdnf","BP"
"1","GO:0048665","neuron fate specification","3/88","21/14042",0.000291510946259902,0.0088836127546169,0.007453982460695,3,"Foxa1/Foxa2/Dmrta2","BP"
"1","GO:1990138","neuron projection extension","6/88","145/14042",0.000295463838845351,0.0088836127546169,0.007453982460695,6,"Myo5b/Nrp2/Ntn1/Cpne9/Sema5a/Bdnf","BP"
"1","GO:0009205","purine ribonucleoside triphosphate metabolic process","7/88","206/14042",0.000306983201931908,0.00901724884459729,0.00756611263772371,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0014032","neural crest cell development","4/88","52/14042",0.000309905448095916,0.00901724884459729,0.00756611263772371,4,"Pitx2/Ret/Nrp2/Erbb4","BP"
"1","GO:0030672","synaptic vesicle membrane","4/90","52/14216",0.000322425160164232,0.00924967217916016,0.00778919762455593,4,"Slc17a6/Gabra2/Unc13c/Tmem163","CC"
"1","GO:0099501","exocytic vesicle membrane","4/90","52/14216",0.000322425160164232,0.00924967217916016,0.00778919762455593,4,"Slc17a6/Gabra2/Unc13c/Tmem163","CC"
"1","GO:0060074","synapse maturation","3/88","22/14042",0.000336013163672555,0.00942727114311114,0.00791015048651758,3,"Erbb4/Neurod2/Nrxn1","BP"
"1","GO:0022037","metencephalon development","5/88","96/14042",0.000336599430795044,0.00942727114311114,0.00791015048651758,5,"Lmx1a/Klhl1/Lmx1b/Neurod2/Nrxn1","BP"
"1","GO:0009167","purine ribonucleoside monophosphate metabolic process","7/88","210/14042",0.000344900163772359,0.00942727114311114,0.00791015048651758,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0009199","ribonucleoside triphosphate metabolic process","7/88","210/14042",0.000344900163772359,0.00942727114311114,0.00791015048651758,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0098563","intrinsic component of synaptic vesicle membrane","3/90","22/14216",0.000346348207031003,0.00924967217916016,0.00778919762455593,3,"Slc17a6/Gabra2/Tmem163","CC"
"1","GO:0009126","purine nucleoside monophosphate metabolic process","7/88","211/14042",0.000354943431438492,0.0095569843330603,0.00801898907161904,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0009161","ribonucleoside monophosphate metabolic process","7/88","213/14042",0.000375734166274451,0.00996038937348701,0.00835747457058836,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0001667","ameboidal-type cell migration","8/88","282/14042",0.000383689418057072,0.00996038937348701,0.00835747457058836,8,"Pitx2/Ret/Tac1/Nrp2/Erbb4/Kit/Sema5a/Hmgb1","BP"
"1","GO:0009144","purine nucleoside triphosphate metabolic process","7/88","214/14042",0.000386489609835971,0.00996038937348701,0.00835747457058836,7,"ND2/ND5/ND4/CYTB/Adcyap1/COX1/Bdnf","BP"
"1","GO:0033267","axon part","7/90","212/14216",0.000389459881227796,0.00924967217916016,0.00778919762455593,7,"Adcyap1/Slc17a6/Crhbp/Calb2/Unc13c/Nrxn1/Bdnf","CC"
